trial,item,prime,target,condition,response,correct,rt_ms,list
1,16,apple,fruit,A,word,1,858,1
2,11,book,page,A,word,1,702,1
3,77,phone,clent,nonword,nonword,1,655,1
4,57,door,tronk,nonword,nonword,1,695,1
5,69,money,blong,nonword,nonword,1,585,1
6,38,velvet,low,B,word,1,662,1
7,63,knife,clof,nonword,nonword,1,769,1
8,58,shirt,blesk,nonword,nonword,1,699,1
9,29,castle,slow,B,word,1,932,1
10,19,shoe,foot,A,word,1,788,1
11,10,car,road,A,word,1,569,1
12,6,sun,moon,A,word,1,832,1
13,56,floor,nerb,nonword,nonword,1,939,1
14,31,letter,hard,B,word,1,766,1
15,50,snow,glish,nonword,nonword,1,694,1
16,53,ocean,crint,nonword,nonword,1,704,1
17,12,milk,cow,A,word,1,642,1
18,49,rain,trame,nonword,nonword,1,688,1
19,68,bike,famt,nonword,nonword,1,639,1
20,62,fork,brin,nonword,nonword,1,661,1
21,79,juice,trund,nonword,nonword,1,619,1
22,18,fish,water,A,word,1,652,1
23,32,honey,close,B,word,1,728,1
24,51,wind,frop,nonword,nonword,1,653,1
25,14,tea,coffee,A,word,1,578,1
26,17,table,chair,A,word,1,595,1
27,34,sugar,hate,B,word,1,801,1
28,76,radio,brask,nonword,nonword,1,673,1
29,7,day,night,A,word,1,547,1
30,9,sky,blue,A,word,1,587,1
31,61,cup,melsh,nonword,nonword,1,581,1
32,48,plant,snerf,nonword,nonword,1,616,1
33,15,boy,girl,A,word,1,645,1
34,59,boots,flund,nonword,nonword,1,594,1
35,71,card,plib,nonword,nonword,1,641,1
36,55,brush,prand,nonword,nonword,1,710,1
37,27,silver,small,B,word,1,605,1
38,36,planet,dry,B,word,1,752,1
39,33,pillow,end,B,word,1,584,1
40,72,game,snib,nonword,nonword,1,541,1
41,65,train,tept,nonword,nonword,1,581,1
42,74,dance,flent,nonword,nonword,1,594,1
43,5,doctor,nurse,A,word,1,552,1
44,80,glass,smerk,nonword,nonword,1,541,1
45,78,cake,preb,nonword,nonword,1,546,1
46,60,ring,grask,nonword,nonword,1,620,1
47,28,orange,old,B,nonword,0,580,1
48,25,mirror,right,B,word,1,586,1
49,47,ship,blive,nonword,nonword,1,666,1
50,4,king,queen,A,word,1,723,1
51,13,fire,smoke,A,word,1,562,1
52,30,bottle,south,B,word,1,655,1
53,64,bridge,sprot,nonword,nonword,1,758,1
54,26,garden,sad,B,word,1,610,1
55,70,coin,crame,nonword,nonword,1,638,1
56,39,cabin,thin,B,word,1,744,1
57,52,star,blaft,nonword,nonword,1,619,1
58,75,song,grond,nonword,nonword,1,673,1
59,24,eagle,summer,B,word,1,709,1
60,40,statue,sleep,B,word,1,651,1
61,37,marble,dark,B,word,1,632,1
62,8,hot,cold,A,word,1,565,1
63,66,plane,dring,nonword,word,0,689,1
64,20,bird,wing,A,word,1,647,1
65,73,movie,drisp,nonword,nonword,1,635,1
66,54,soap,slome,nonword,nonword,1,709,1
67,67,truck,molk,nonword,nonword,1,744,1
68,35,window,take,B,word,1,901,1
